ClassTable,nameTextId,descTextId,number,promotion,SMSId,slowWalking,defaultPortraitId,unk0A,baseHP,basePow,baseSkl,baseSpd,baseDef,baseRes,baseCon,baseMov,maxHP,maxPow,maxSkl,maxSpd,maxDef,maxRes,maxCon,classRelativePower,growthHP,growthPow,growthSkl,growthSpd,growthDef,growthRes,growthLck,promotionHP,promotionPow,promotionSkl,promotionSpd,promotionDef,promotionRes,attributes,baseSwordRank,baseLanceRank,baseAxeRank,baseBowRank,baseStaffRank,baseAnimaRank,baseLightRank,baseDarkRank,pBattleAnimDef,pMovCostTable,pRainMovCostTable,pSnowMovCostTable,pTerrainAvoidLookup,pTerrainDefenseLookup,pTerrainResistanceLookup,classType
0x807110_0x7F,16_h,16_h,8_h,8_h,8_h,8_h,16_h,8_h,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,8_d_s,32_h,8_d,8_d,8_d,8_d,8_d,8_d,8_d,8_d,32_p,32_p,32_p,32_p,32_p,32_p,32_p,32_p
None,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,37,0,0,65,0,0,0x1000002,0,0,0,0,0,0,0,0,0x1f,0x0,0x231e143c,0x190f0f,0x0,0x0,0x0,0x0
MageLord#def,MageLordName,MageLordDesc,0x1,0x3,MageLordStandMapSprite,0x0,0x8b,0x1,17,5,5,10,3,5,7,5,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x20002000,0,0,0,0,0,DRank,0,0,MageLordAnimEntry|IsPointer,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,MageType|ThiefType
Lord#def,LordName,LordDesc,0x2,0x4,0x1,0x0,0x8b,0x1,17,5,8,9,2,3,7,5,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x10022000,DRank,0,0,0,0,0,0,0,0x88aefe4,0x880b808,0x880bc59,0x880c069,0x880c479,0x880c4ba,0x880c4fb,0x0
MageLordPromo#def,MageLordPromoName,MageLordPromoDesc,0x3,0x1,MageLordPromoStandMapSprite,0x0,0x8b,0x2,20,7,8,12,4,8,9,6,80,30,30,30,30,30,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x20002503,0,0,0,0,0,DRank,0,0,MageLordPromoAnimEntry,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,MageType|ThiefType
GreatLord#def,GreatLordName,GreatLordPromoDesc,0x4,0x2,GreatLordStandMapSprite,0x0,0x8b,0x2,20,13,9,9,7,5,10,6,80,30,30,30,30,30,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,0x10022503,DRank,0,0,DRank,0,0,0,0,GreatLordAnimEntry,0x880bad3,0x880bf24,0x880c334,0x880c479,0x880c4ba,0x880c4fb,0x0
LightCavalier#def,LightCavalierName,LightCavalierDesc,0x5,0x7,LightCavalierStandMapSprite,0x0,LightCavalierCard,0x20,18,5,2,6,7,0,9,7,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,MountedAid|CanCanto|HorseIcon,DRank,DRank,0,0,0,0,0,0,CavalierAnimEntry|IsPointer,pCavalryMoveCost,pCavalryMoveCost,pCavalryMoveCost,pGetTerrainAvo,pGetTerrainDef,pGetTerrainRes,HorseType
LightCavalier_F#def,LightCavalierName,LightCavalierDesc,0x6,0x8,LightCavalier_FstandMapSprite,0x0,LightCavalierCard,0x20,18,5,2,6,7,0,9,7,60,20,20,20,20,20,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,MountedAid|CanCanto|HorseIcon,DRank,DRank,0,0,0,0,0,0,Cavalier_FAnimEntry|IsPointer,pCavalryMoveCost,pCavalryMoveCost,pCavalryMoveCost,pGetTerrainAvo,pGetTerrainDef,pGetTerrainRes,HorseType
Paladin#def,PaladinName,PaladinDesc,0x7,0x5,PaladinStandMapSprite,0x0,PaladinCard,0x21,22,7,5,7,8,1,11,8,80,30,30,30,30,30,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,MountedAid|CanCanto|HorseIcon|IsPromoted,DRank,DRank,0,0,0,0,0,0,PaladinAnimEntry|IsPointer,pPromotedCavalryMoveCost,pPromotedCavalryMoveCost,pPromotedCavalryMoveCost,pGetTerrainAvo,pGetTerrainDef,pGetTerrainRes,HorseType
Paladin_F#def,PaladinName,PaladinDesc,0x8,0x6,Paladin_FStandMapSprite,0x0,PaladinCard,0x21,22,7,5,7,8,1,11,8,80,30,30,30,30,30,25,3,50,35,35,30,20,20,35,2,1,1,1,1,1,MountedAid|CanCanto|HorseIcon|IsPromoted,DRank,DRank,0,0,0,0,0,0,PaladinAnimEntry|IsPointer,pPromotedCavalryMoveCost,pPromotedCavalryMoveCost,pPromotedCavalryMoveCost,pGetTerrainAvo,pGetTerrainDef,pGetTerrainRes,HorseType
